,green_space,pharmacies,education,groceries,perc_pop_white,perc_pop_black,perc_pop_asiapacific,perc_pop_hispanic,perc_pop_indig,perc_pop_otherrace,perc_pop_poverty,perc_hhld_total_w_chld,perc_hhld_single_mother,perc_hhld_nocar,workers_all,urban,equity,C000,scores,disparity
5243,0.06714447561,0,0,0,0.06706408345752608,0.9329359165424739,0.0,0.0,0.0,0.0,0.17883755588673622,0.29914529914529914,0.0641025641025641,0.29914529914529914,333.0,1,1,2,17.792,0.6915711648750826
5245,0.21991385,0,0,1,0.8175895765472313,0.00046533271288971617,0.02419730107026524,0.13448115402512797,0.0,0.023266635644485806,0.03536528617961843,0.24175824175824176,0.0,0.042735042735042736,1232.0,1,0,1458,29.125,0.033622353292924845
5246,0.01971768732,0,0,0,0.49489795918367346,0.022321428571428572,0.18941326530612246,0.29336734693877553,0.0,0.0,0.04400510204081633,0.19962335216572505,0.0,0.01694915254237288,907.0,0,1,26,0.0,0.012613843351548248
5247,0.014806358200000001,0,0,2,0.11889801836636056,0.0028999516674722086,0.015466408893185114,0.8622522957950701,0.0,0.0004833252779120348,0.17883035282745288,0.5627240143369175,0.1989247311827957,0.0967741935483871,880.0,1,1,348,8.583,0.15890542486797887
5248,0.0035983241210000004,0,0,0,0.8336397058823529,0.022058823529411766,0.0,0.14430147058823528,0.0,0.0,0.024816176470588234,0.3112244897959184,0.0,0.07142857142857142,708.0,0,0,156,1.5,0.02374820646775322
5249,0.4976056604,0,0,0,0.9378757515030061,0.0,0.03406813627254509,0.004676018704074816,0.0,0.02338009352037408,0.02004008016032064,0.32040472175379425,0.026981450252951095,0.045531197301854974,669.0,0,0,265,5.292000000000001,0.7088978863136417
5250,1.42417181,4,0,9,0.5898624401913876,0.047323564593301434,0.1531848086124402,0.1833133971291866,0.0,0.02631578947368421,0.023175837320574162,0.6577056161831248,0.07319669949427735,0.006920415224913495,5929.0,0,0,4263,1.042,0.0
5251,0.0,0,0,0,0.0,0.8,0.0,0.2,0.0,0.0,0.2575,0.23636363636363636,0.10909090909090909,0.4727272727272727,123.0,1,1,0,1.9169999999999998,0.03596737969080477
5252,0.0,0,0,0,0.7204678362573099,0.09941520467836257,0.04093567251461988,0.050292397660818715,0.0,0.08888888888888889,0.11812865497076024,0.030664395229982964,0.0,0.596252129471891,489.0,1,0,155,51.333,0.07229920469380624
5253,0.0,0,0,0,0.0044742729306487695,0.9921700223713646,0.0,0.0022371364653243847,0.0011185682326621924,0.0,0.3668903803131991,0.06349206349206349,0.046031746031746035,0.5111111111111111,421.0,1,1,4,16.042,0.004894934621245017
5254,0.0,0,0,1,0.4,0.2053475935828877,0.04331550802139037,0.339572192513369,0.0,0.011764705882352941,0.08877005347593583,0.3022974607013301,0.016928657799274487,0.3264812575574365,704.0,1,1,100,23.916999999999998,0.014719724921439692
5255,0.01135736463,1,0,1,0.22431865828092243,0.4954577218728162,0.027952480782669462,0.18798043326345212,0.0,0.06429070580013976,0.12299091544374563,0.13247863247863248,0.019943019943019943,0.15954415954415954,734.0,1,1,2307,26.791999999999998,0.20620749804486982
5256,0.1309106303,0,0,0,0.5097813578826237,0.26352128883774456,0.13693901035673187,0.06904487917146145,0.0,0.020713463751438434,0.14039125431530494,0.1172566371681416,0.061946902654867256,0.336283185840708,356.0,1,0,33,12.25,0.07671163692514893
5257,0.07011290507000001,0,0,1,0.7117934403349616,0.19399860432658758,0.03279832519190509,0.02930914166085136,0.0,0.03210048848569435,0.1451500348918353,0.17530864197530865,0.06172839506172839,0.337037037037037,674.0,1,1,95,16.583,0.06515010635452356
5258,0.0015107644699999998,0,0,1,0.33758286588475267,0.5150433452320244,0.0719020907700153,0.043345232024477306,0.0,0.03212646608873024,0.13717491075981642,0.1130952380952381,0.037698412698412696,0.4662698412698413,1004.0,1,0,16,8.042,0.058844045549929946
5259,0.0006402206626,2,0,6,0.5787923416789397,0.09941089837997054,0.03829160530191458,0.22901325478645065,0.0,0.054491899852724596,0.24815905743740796,0.03282828282828283,0.0,0.43813131313131315,750.0,1,1,185,28.541999999999998,0.1791811309790723
5260,0.6364894112,0,0,0,0.5761962203457982,0.0546843586650583,0.1710896662645758,0.1521913952553277,0.0,0.045838359469240045,0.018094089264173704,0.5075508864084045,0.036769533814839134,0.026263952724885097,2452.0,0,0,528,0.0,0.0
5261,0.0,0,0,0,0.4364278506559031,0.0963673057517659,0.021695257315842584,0.4455095862764884,0.0,0.0,0.1165489404641776,0.5604203152364273,0.040280210157618214,0.0,1044.0,0,0,5,0.0,0.0
5262,0.3681371414,1,0,3,0.6606947483588621,0.08014223194748359,0.05210612691466083,0.17136214442013128,0.0,0.03569474835886215,0.027078774617067834,0.5881188118811881,0.10594059405940594,0.07326732673267326,3412.0,0,0,1884,0.792,0.06744604316546765
5263,1.870602862,1,0,1,0.6311284046692607,0.07937743190661478,0.19066147859922178,0.024902723735408562,0.0,0.07392996108949416,0.0062256809338521405,0.48984771573604063,0.07614213197969544,0.0,789.0,0,0,79,0.667,0.0
5264,0.7533301870999999,0,0,3,0.43573988735279057,0.10701484895033282,0.065284178187404,0.3742959549411162,0.0,0.017665130568356373,0.036610343061955965,0.38686708860759494,0.05933544303797468,0.012658227848101266,2017.0,0,0,2082,0.0,0.0
5265,0.007190553377,0,0,0,0.5473441108545035,0.0,0.2817551963048499,0.008083140877598153,0.0,0.1628175519630485,0.0,0.5354330708661418,0.0,0.003937007874015748,601.0,0,0,19,0.0,0.0
